,seconds,date,hr
127269,"1157,802",[2023-04-23 18:29:32 051],82.0
127322,"1158,302",[2023-04-23 18:29:32 551],83.0
127378,"1158,802",[2023-04-23 18:29:33 051],83.0
127435,"1159,302",[2023-04-23 18:29:33 551],84.0
127492,"1159,802",[2023-04-23 18:29:34 051],85.0
127548,"1160,302",[2023-04-23 18:29:34 551],85.0
127606,"1160,802",[2023-04-23 18:29:35 051],86.0
127663,"1161,302",[2023-04-23 18:29:35 551],86.0
127720,"1161,802",[2023-04-23 18:29:36 051],87.0
127775,"1162,302",[2023-04-23 18:29:36 551],87.0
127832,"1162,802",[2023-04-23 18:29:37 051],88.0
127889,"1163,302",[2023-04-23 18:29:37 551],89.0
127946,"1163,802",[2023-04-23 18:29:38 051],90.0
128004,"1164,302",[2023-04-23 18:29:38 551],90.0
128061,"1164,802",[2023-04-23 18:29:39 051],91.0
128118,"1165,302",[2023-04-23 18:29:39 551],91.0
128172,"1165,802",[2023-04-23 18:29:40 051],91.0
128227,"1166,302",[2023-04-23 18:29:40 551],90.0
128285,"1166,802",[2023-04-23 18:29:41 051],90.0
128340,"1167,302",[2023-04-23 18:29:41 551],90.0
128399,"1167,802",[2023-04-23 18:29:42 051],90.0
128456,"1168,302",[2023-04-23 18:29:42 551],91.0
128514,"1168,802",[2023-04-23 18:29:43 051],91.0
128570,"1169,302",[2023-04-23 18:29:43 551],92.0
128625,"1169,802",[2023-04-23 18:29:44 051],92.0
128680,"1170,302",[2023-04-23 18:29:44 551],93.0
128737,"1170,802",[2023-04-23 18:29:45 051],93.0
128795,"1171,302",[2023-04-23 18:29:45 551],94.0
128852,"1171,802",[2023-04-23 18:29:46 051],94.0
128909,"1172,302",[2023-04-23 18:29:46 551],94.0
128966,"1172,802",[2023-04-23 18:29:47 051],94.0
129020,"1173,302",[2023-04-23 18:29:47 551],94.0
129077,"1173,802",[2023-04-23 18:29:48 051],94.0
129134,"1174,302",[2023-04-23 18:29:48 551],94.0
129191,"1174,802",[2023-04-23 18:29:49 051],94.0
129248,"1175,302",[2023-04-23 18:29:49 551],94.0
129305,"1175,802",[2023-04-23 18:29:50 051],94.0
129362,"1176,302",[2023-04-23 18:29:50 551],94.0
129418,"1176,802",[2023-04-23 18:29:51 051],94.0
129473,"1177,302",[2023-04-23 18:29:51 551],94.0
129531,"1177,802",[2023-04-23 18:29:52 051],94.0
129588,"1178,302",[2023-04-23 18:29:52 551],94.0
129645,"1178,802",[2023-04-23 18:29:53 051],94.0
129701,"1179,302",[2023-04-23 18:29:53 551],94.0
129759,"1179,802",[2023-04-23 18:29:54 051],94.0
129815,"1180,302",[2023-04-23 18:29:54 551],95.0
129870,"1180,802",[2023-04-23 18:29:55 051],96.0
129927,"1181,302",[2023-04-23 18:29:55 551],98.0
129985,"1181,802",[2023-04-23 18:29:56 051],100.0
130042,"1182,302",[2023-04-23 18:29:56 551],101.0
130099,"1182,802",[2023-04-23 18:29:57 051],103.0
130156,"1183,302",[2023-04-23 18:29:57 551],103.0
130214,"1183,802",[2023-04-23 18:29:58 051],104.0
130266,"1184,302",[2023-04-23 18:29:58 551],104.0
130323,"1184,802",[2023-04-23 18:29:59 051],105.0
130380,"1185,302",[2023-04-23 18:29:59 551],106.0
130438,"1185,802",[2023-04-23 18:30:00 051],107.0
130494,"1186,302",[2023-04-23 18:30:00 551],107.0
130551,"1186,802",[2023-04-23 18:30:01 051],107.0
130608,"1187,302",[2023-04-23 18:30:01 551],106.0
130664,"1187,802",[2023-04-23 18:30:02 051],106.0
130719,"1188,302",[2023-04-23 18:30:02 551],106.0
130777,"1188,802",[2023-04-23 18:30:03 051],106.0
130834,"1189,302",[2023-04-23 18:30:03 551],107.0
130892,"1189,802",[2023-04-23 18:30:04 051],107.0
130947,"1190,302",[2023-04-23 18:30:04 551],108.0
131004,"1190,802",[2023-04-23 18:30:05 051],108.0
131061,"1191,302",[2023-04-23 18:30:05 551],108.0
131119,"1191,802",[2023-04-23 18:30:06 051],108.0
131176,"1192,302",[2023-04-23 18:30:06 551],109.0
131230,"1192,802",[2023-04-23 18:30:07 051],109.0
131287,"1193,302",[2023-04-23 18:30:07 551],108.0
131345,"1193,802",[2023-04-23 18:30:08 051],108.0
131402,"1194,302",[2023-04-23 18:30:08 551],109.0
131460,"1194,802",[2023-04-23 18:30:09 051],109.0
131517,"1195,302",[2023-04-23 18:30:09 551],109.0
131574,"1195,802",[2023-04-23 18:30:10 051],109.0
131627,"1196,302",[2023-04-23 18:30:10 551],110.0
131682,"1196,802",[2023-04-23 18:30:11 051],110.0
131740,"1197,302",[2023-04-23 18:30:11 551],110.0
131796,"1197,802",[2023-04-23 18:30:12 051],110.0
131853,"1198,302",[2023-04-23 18:30:12 551],111.0
131911,"1198,802",[2023-04-23 18:30:13 051],111.0
131968,"1199,302",[2023-04-23 18:30:13 551],111.0
132024,"1199,802",[2023-04-23 18:30:14 051],111.0
132078,"1200,302",[2023-04-23 18:30:14 551],112.0
132136,"1200,802",[2023-04-23 18:30:15 051],112.0
132193,"1201,302",[2023-04-23 18:30:15 551],113.0
132250,"1201,802",[2023-04-23 18:30:16 051],114.0
132307,"1202,302",[2023-04-23 18:30:16 551],114.0
132365,"1202,802",[2023-04-23 18:30:17 051],115.0
132422,"1203,302",[2023-04-23 18:30:17 551],116.0
132477,"1203,802",[2023-04-23 18:30:18 051],116.0
132533,"1204,302",[2023-04-23 18:30:18 551],117.0
132591,"1204,802",[2023-04-23 18:30:19 051],117.0
132648,"1205,302",[2023-04-23 18:30:19 551],117.0
132706,"1205,802",[2023-04-23 18:30:20 051],117.0
132763,"1206,302",[2023-04-23 18:30:20 551],117.0
132821,"1206,802",[2023-04-23 18:30:21 051],117.0
132876,"1207,302",[2023-04-23 18:30:21 551],116.0
132932,"1207,802",[2023-04-23 18:30:22 051],115.0
132987,"1208,302",[2023-04-23 18:30:22 551],115.0
133044,"1208,802",[2023-04-23 18:30:23 051],114.0
133101,"1209,302",[2023-04-23 18:30:23 551],113.0
133159,"1209,802",[2023-04-23 18:30:24 051],113.0
133215,"1210,302",[2023-04-23 18:30:24 551],113.0
133273,"1210,802",[2023-04-23 18:30:25 051],113.0
133325,"1211,302",[2023-04-23 18:30:25 551],113.0
133383,"1211,802",[2023-04-23 18:30:26 051],114.0
133440,"1212,302",[2023-04-23 18:30:26 551],114.0
133498,"1212,802",[2023-04-23 18:30:27 051],115.0
133556,"1213,302",[2023-04-23 18:30:27 551],115.0
133614,"1213,802",[2023-04-23 18:30:28 051],115.0
133671,"1214,302",[2023-04-23 18:30:28 551],116.0
133727,"1214,802",[2023-04-23 18:30:29 051],116.0
133782,"1215,302",[2023-04-23 18:30:29 551],117.0
133840,"1215,802",[2023-04-23 18:30:30 051],117.0
133898,"1216,302",[2023-04-23 18:30:30 551],117.0
133956,"1216,802",[2023-04-23 18:30:31 051],117.0
134013,"1217,302",[2023-04-23 18:30:31 551],117.0
134071,"1217,802",[2023-04-23 18:30:32 051],117.0
134127,"1218,302",[2023-04-23 18:30:32 551],117.0
134183,"1218,802",[2023-04-23 18:30:33 051],117.0
134241,"1219,302",[2023-04-23 18:30:33 551],117.0
134299,"1219,802",[2023-04-23 18:30:34 051],117.0
134356,"1220,302",[2023-04-23 18:30:34 551],118.0
134413,"1220,802",[2023-04-23 18:30:35 051],118.0
134470,"1221,302",[2023-04-23 18:30:35 551],119.0
134528,"1221,802",[2023-04-23 18:30:36 051],119.0
134581,"1222,302",[2023-04-23 18:30:36 551],120.0
134638,"1222,802",[2023-04-23 18:30:37 051],120.0
134695,"1223,302",[2023-04-23 18:30:37 551],121.0
134753,"1223,802",[2023-04-23 18:30:38 051],121.0
134810,"1224,302",[2023-04-23 18:30:38 551],121.0
134867,"1224,802",[2023-04-23 18:30:39 051],121.0
134924,"1225,302",[2023-04-23 18:30:39 551],121.0
134978,"1225,802",[2023-04-23 18:30:40 051],121.0
135034,"1226,302",[2023-04-23 18:30:40 551],121.0
135091,"1226,802",[2023-04-23 18:30:41 051],120.0
135149,"1227,302",[2023-04-23 18:30:41 551],120.0
135206,"1227,802",[2023-04-23 18:30:42 051],119.0
135264,"1228,302",[2023-04-23 18:30:42 551],119.0
135322,"1228,802",[2023-04-23 18:30:43 051],119.0
135379,"1229,302",[2023-04-23 18:30:43 551],119.0
135436,"1229,802",[2023-04-23 18:30:44 051],118.0
135493,"1230,302",[2023-04-23 18:30:44 551],118.0
135547,"1230,802",[2023-04-23 18:30:45 051],117.0
