seconds,date,speed,hr,core_temperature,x,y,z,raw_rr,filtered_rr,difference_rr,hr_rmssd,activity_load_2d,activity_load_3d
230.596,2023-04-23 18:14:28.363,,,,,,,428.0,,,,,
231.024,2023-04-23 18:14:28.791,,,,,,,378.0,,,,,
231.075,2023-04-23 18:14:28.842,,,,,,,,695.0,0.0,,,
231.402,2023-04-23 18:14:29.169,,,,,,,818.0,,,,,
231.77,2023-04-23 18:14:29.537,,,,,,,,656.0,0.0,,,
232.22,2023-04-23 18:14:29.987,,,,,,,5368.0,,,,,
232.426,2023-04-23 18:14:30.193,,,,,,,,628.0,198.0,,,
233.054,2023-04-23 18:14:30.821,,,,,,,,626.0,261.0,,,
233.68,2023-04-23 18:14:31.447,,,,,,,,624.0,196.0,,,
234.304,2023-04-23 18:14:32.071,,,,,,,,722.0,344.0,,,
235.026,2023-04-23 18:14:32.793,,,,,,,,818.0,0.0,,,
235.844,2023-04-23 18:14:33.611,,,,,,,,740.0,-4628.0,,,
236.584,2023-04-23 18:14:34.351,,,,,,,,729.0,292.0,,,
237.313,2023-04-23 18:14:35.080,,,,,,,,729.0,350.0,,,
237.588,2023-04-23 18:14:35.355,,,,,,,437.0,,,,,
238.025,2023-04-23 18:14:35.792,,,,,,,379.0,,,,,
238.042,2023-04-23 18:14:35.809,,,,,,,,727.0,347.0,,,
238.404,2023-04-23 18:14:36.171,,,,,,,380.0,,,,,
238.769,2023-04-23 18:14:36.536,,,,,,,,697.0,299.0,,,
238.784,2023-04-23 18:14:36.551,,,,,,,398.0,,,,,
239.182,2023-04-23 18:14:36.949,,,,,,,1144.0,,,,,
239.466,2023-04-23 18:14:37.233,,,,,,,,800.0,-344.0,,,
251.271,2023-04-23 18:14:49.038,,,,,,,,766.0,0.0,,,
251.615,2023-04-23 18:14:49.382,,,,,,,766.0,,,,,
252.037,2023-04-23 18:14:49.804,,,,,,,,907.0,0.0,,,
252.381,2023-04-23 18:14:50.148,,,,,,,907.0,,,,,
252.944,2023-04-23 18:14:50.711,,,,,,,,663.0,0.0,,,
253.288,2023-04-23 18:14:51.055,,,,,,,663.0,,,,,
253.607,2023-04-23 18:14:51.374,,,,,,,,659.0,242.0,,,
253.951,2023-04-23 18:14:51.718,,,,,,,417.0,,,,,
254.266,2023-04-23 18:14:52.033,,,,,,,,649.0,106.0,,,
254.368,2023-04-23 18:14:52.135,,,,,,,543.0,,,,,
254.911,2023-04-23 18:14:52.678,,,,,,,680.0,,,,,
254.915,2023-04-23 18:14:52.682,,,,,,,,680.0,0.0,,,
255.591,2023-04-23 18:14:53.358,,,,,,,696.0,,,,,
255.595,2023-04-23 18:14:53.362,,,,,,,,696.0,0.0,,,
256.287,2023-04-23 18:14:54.054,,,,,,,3973.0,,,,,
256.291,2023-04-23 18:14:54.058,,,,,,,,872.0,-3101.0,,,
257.163,2023-04-23 18:14:54.930,,,,,,,,628.0,332.0,,,
257.791,2023-04-23 18:14:55.558,,,,,,,,664.0,325.0,,,
258.455,2023-04-23 18:14:56.222,,,,,,,,672.0,212.0,,,
259.127,2023-04-23 18:14:56.894,,,,,,,,659.0,-2347.0,,,
259.786,2023-04-23 18:14:57.553,,,,,,,,853.0,-507.0,,,
260.26,2023-04-23 18:14:58.027,,,,,,,296.0,,,,,
260.556,2023-04-23 18:14:58.323,,,,,,,339.0,,,,,
260.639,2023-04-23 18:14:58.406,,,,,,,,653.0,370.0,,,
260.895,2023-04-23 18:14:58.662,,,,,,,460.0,,,,,
261.292,2023-04-23 18:14:59.059,,,,,,,,637.0,283.0,,,
261.355,2023-04-23 18:14:59.122,,,,,,,3006.0,,,,,
261.929,2023-04-23 18:14:59.696,,,,,,,,725.0,0.0,,,
262.654,2023-04-23 18:15:00.421,,,,,,,,674.0,277.0,,,
263.328,2023-04-23 18:15:01.095,,,,,,,,863.0,-62.0,,,
264.361,2023-04-23 18:15:02.128,,,,,,,1360.0,,,,,
265.721,2023-04-23 18:15:03.488,,,,,,,283.0,,,,,
266.004,2023-04-23 18:15:03.771,,,,,,,354.0,,,,,
266.358,2023-04-23 18:15:04.125,,,,,,,725.0,,,,,
267.083,2023-04-23 18:15:04.850,,,,,,,397.0,,,,,
267.48,2023-04-23 18:15:05.247,,,,,,,925.0,,,,,
275.33,2023-04-23 18:15:13.097,,,,,,,,651.0,180.0,,,
275.392,2023-04-23 18:15:13.159,,,,,,,471.0,,,,,
275.863,2023-04-23 18:15:13.630,,,,,,,455.0,,,,,
275.981,2023-04-23 18:15:13.748,,,,,,,,684.0,229.0,,,
276.318,2023-04-23 18:15:14.085,,,,,,,1293.0,,,,,
276.665,2023-04-23 18:15:14.432,,,,,,,,841.0,-452.0,,,
277.506,2023-04-23 18:15:15.273,,,,,,,,678.0,158.0,,,
277.611,2023-04-23 18:15:15.378,,,,,,,520.0,,,,,
278.131,2023-04-23 18:15:15.898,,,,,,,1365.0,,,,,
278.184,2023-04-23 18:15:15.951,,,,,,,,869.0,-496.0,,,
279.053,2023-04-23 18:15:16.820,,,,,,,,755.0,-258.0,,,
279.496,2023-04-23 18:15:17.263,,,,,,,1013.0,,,,,
279.808,2023-04-23 18:15:17.575,,,,,,,,696.0,0.0,,,
280.504,2023-04-23 18:15:18.271,,,,,,,,676.0,346.0,,,
280.509,2023-04-23 18:15:18.276,,,,,,,696.0,,,,,
281.18,2023-04-23 18:15:18.947,,,,,,,,777.0,-560.0,,,
281.205,2023-04-23 18:15:18.972,,,,,,,330.0,,,,,
281.535,2023-04-23 18:15:19.302,,,,,,,1337.0,,,,,
281.957,2023-04-23 18:15:19.724,,,,,,,,678.0,99.0,,,
282.635,2023-04-23 18:15:20.402,,,,,,,,828.0,-777.0,,,
282.872,2023-04-23 18:15:20.639,,,,,,,579.0,,,,,
283.451,2023-04-23 18:15:21.218,,,,,,,1605.0,,,,,
283.463,2023-04-23 18:15:21.230,,,,,,,,852.0,-573.0,,,
284.315,2023-04-23 18:15:22.082,,,,,,,,645.0,175.0,,,
284.96,2023-04-23 18:15:22.727,,,,,,,,641.0,235.0,,,
285.056,2023-04-23 18:15:22.823,,,,,,,1425.0,,,,,
285.601,2023-04-23 18:15:23.368,,,,,,,,643.0,363.0,,,
286.244,2023-04-23 18:15:24.011,,,,,,,,652.0,0.0,,,
286.481,2023-04-23 18:15:24.248,,,,,,,470.0,,,,,
286.896,2023-04-23 18:15:24.663,,,,,,,,587.0,0.0,,,
286.951,2023-04-23 18:15:24.718,,,,,,,406.0,,,,,
287.357,2023-04-23 18:15:25.124,,,,,,,280.0,,,,,
287.483,2023-04-23 18:15:25.250,,,,,,,,695.0,195.0,,,
287.637,2023-04-23 18:15:25.404,,,,,,,652.0,,,,,
288.178,2023-04-23 18:15:25.945,,,,,,,,729.0,-472.0,,,
288.289,2023-04-23 18:15:26.056,,,,,,,587.0,,,,,
288.876,2023-04-23 18:15:26.643,,,,,,,500.0,,,,,
288.907,2023-04-23 18:15:26.674,,,,,,,,636.0,106.0,,,
289.376,2023-04-23 18:15:27.143,,,,,,,1201.0,,,,,
289.543,2023-04-23 18:15:27.310,,,,,,,,845.0,-334.0,,,
290.388,2023-04-23 18:15:28.155,,,,,,,,621.0,154.0,,,
290.577,2023-04-23 18:15:28.344,,,,,,,530.0,,,,,
291.009,2023-04-23 18:15:28.776,,,,,,,,646.0,0.0,,,
291.107,2023-04-23 18:15:28.874,,,,,,,1179.0,,,,,
291.655,2023-04-23 18:15:29.422,,,,,,,,752.0,-277.0,,,
292.286,2023-04-23 18:15:30.053,,,,,,,467.0,,,,,
292.407,2023-04-23 18:15:30.174,,,,,,,,779.0,-385.0,,,
292.753,2023-04-23 18:15:30.520,,,,,,,646.0,,,,,
293.186,2023-04-23 18:15:30.953,,,,,,,,623.0,157.0,,,
