seconds,date,activity_load_2d,activity_load_3d
305.446,2023-04-23 18:15:43.213,0.0098,0.0127
306.446,2023-04-23 18:15:44.213,0.0108,0.0123
307.607,2023-04-23 18:15:45.374,0.0102,0.0124
308.607,2023-04-23 18:15:46.374,0.0107,0.014
309.607,2023-04-23 18:15:47.374,0.0055,0.0073
310.607,2023-04-23 18:15:48.374,0.0042,0.0051
311.607,2023-04-23 18:15:49.374,0.0049,0.0058
312.607,2023-04-23 18:15:50.374,0.0054,0.007
313.607,2023-04-23 18:15:51.374,0.0141,0.0169
314.607,2023-04-23 18:15:52.374,0.0123,0.0142
315.607,2023-04-23 18:15:53.374,0.0101,0.0122
316.607,2023-04-23 18:15:54.374,0.0167,0.0188
317.607,2023-04-23 18:15:55.374,0.0041,0.0049
318.607,2023-04-23 18:15:56.374,0.0048,0.0055
319.607,2023-04-23 18:15:57.374,0.0072,0.0095
320.607,2023-04-23 18:15:58.374,0.0091,0.0108
321.607,2023-04-23 18:15:59.374,0.0078,0.0114
322.607,2023-04-23 18:16:00.374,0.0058,0.008
323.607,2023-04-23 18:16:01.374,0.0085,0.0108
324.607,2023-04-23 18:16:02.374,0.0076,0.0089
325.607,2023-04-23 18:16:03.374,0.0108,0.0122
326.607,2023-04-23 18:16:04.374,0.0144,0.0157
327.607,2023-04-23 18:16:05.374,0.0109,0.0122
328.607,2023-04-23 18:16:06.374,0.0083,0.0101
329.607,2023-04-23 18:16:07.374,0.0095,0.0125
330.607,2023-04-23 18:16:08.374,0.0075,0.0098
331.607,2023-04-23 18:16:09.374,0.0087,0.0132
332.607,2023-04-23 18:16:10.374,0.0131,0.017
333.607,2023-04-23 18:16:11.374,0.0089,0.0126
334.607,2023-04-23 18:16:12.374,0.0061,0.0091
335.607,2023-04-23 18:16:13.374,0.0066,0.0097
336.607,2023-04-23 18:16:14.374,0.0064,0.0097
337.607,2023-04-23 18:16:15.374,0.006,0.0087
338.607,2023-04-23 18:16:16.374,0.0075,0.0093
339.607,2023-04-23 18:16:17.374,0.0069,0.009
340.607,2023-04-23 18:16:18.374,0.0062,0.0084
341.607,2023-04-23 18:16:19.374,0.0132,0.016
342.607,2023-04-23 18:16:20.374,0.0063,0.0087
343.607,2023-04-23 18:16:21.374,0.007,0.011
344.607,2023-04-23 18:16:22.374,0.005,0.0078
345.607,2023-04-23 18:16:23.374,0.0071,0.0107
346.607,2023-04-23 18:16:24.374,0.005,0.0075
347.607,2023-04-23 18:16:25.374,0.0078,0.0109
348.607,2023-04-23 18:16:26.374,0.005,0.0081
349.607,2023-04-23 18:16:27.374,0.0033,0.0044
350.607,2023-04-23 18:16:28.374,0.0025,0.0034
351.607,2023-04-23 18:16:29.374,0.017,0.0247
352.607,2023-04-23 18:16:30.374,0.021,0.0286
353.607,2023-04-23 18:16:31.374,0.0217,0.0393
354.607,2023-04-23 18:16:32.374,0.0175,0.0279
355.607,2023-04-23 18:16:33.374,0.0049,0.0067
356.607,2023-04-23 18:16:34.374,0.0077,0.0096
357.607,2023-04-23 18:16:35.374,0.0068,0.0081
358.607,2023-04-23 18:16:36.374,0.0088,0.0101
359.607,2023-04-23 18:16:37.374,0.0069,0.0078
360.607,2023-04-23 18:16:38.374,0.0062,0.0088
361.607,2023-04-23 18:16:39.374,0.0052,0.0067
362.607,2023-04-23 18:16:40.374,0.0048,0.0059
363.607,2023-04-23 18:16:41.374,0.007,0.0085
364.607,2023-04-23 18:16:42.374,0.0064,0.0081
365.607,2023-04-23 18:16:43.374,0.0067,0.008
366.607,2023-04-23 18:16:44.374,0.0063,0.0076
367.607,2023-04-23 18:16:45.374,0.011,0.0125
368.77,2023-04-23 18:16:46.537,0.0179,0.0208
369.77,2023-04-23 18:16:47.537,0.0174,0.0218
370.77,2023-04-23 18:16:48.537,0.0069,0.0082
371.77,2023-04-23 18:16:49.537,0.0083,0.0093
372.77,2023-04-23 18:16:50.537,0.0087,0.01
373.77,2023-04-23 18:16:51.537,0.009,0.0103
374.77,2023-04-23 18:16:52.537,0.0107,0.0127
375.77,2023-04-23 18:16:53.537,0.0266,0.0299
376.77,2023-04-23 18:16:54.537,0.0226,0.0268
377.77,2023-04-23 18:16:55.537,0.0296,0.036
378.77,2023-04-23 18:16:56.537,0.0103,0.0123
379.77,2023-04-23 18:16:57.537,0.0104,0.0128
380.77,2023-04-23 18:16:58.537,0.0037,0.0042
381.77,2023-04-23 18:16:59.537,0.0023,0.003
382.77,2023-04-23 18:17:00.537,0.0032,0.004
383.77,2023-04-23 18:17:01.537,0.0031,0.004
384.77,2023-04-23 18:17:02.537,0.0057,0.0068
385.77,2023-04-23 18:17:03.537,0.0039,0.0047
386.77,2023-04-23 18:17:04.537,0.0029,0.0034
387.77,2023-04-23 18:17:05.537,0.0031,0.0044
388.77,2023-04-23 18:17:06.537,0.0022,0.0026
389.77,2023-04-23 18:17:07.537,0.0022,0.0026
390.77,2023-04-23 18:17:08.537,0.002,0.0023
391.77,2023-04-23 18:17:09.537,0.0022,0.0027
392.77,2023-04-23 18:17:10.537,0.0017,0.0021
393.77,2023-04-23 18:17:11.537,0.0022,0.0026
394.77,2023-04-23 18:17:12.537,0.0052,0.0062
395.77,2023-04-23 18:17:13.537,0.0078,0.0092
396.77,2023-04-23 18:17:14.537,0.0085,0.0102
397.77,2023-04-23 18:17:15.537,0.0078,0.0092
398.77,2023-04-23 18:17:16.537,0.006,0.0068
399.77,2023-04-23 18:17:17.537,0.0112,0.0134
400.77,2023-04-23 18:17:18.537,0.0133,0.0168
401.77,2023-04-23 18:17:19.537,0.0147,0.0169
402.77,2023-04-23 18:17:20.537,0.017,0.02
403.77,2023-04-23 18:17:21.537,0.0249,0.032
404.77,2023-04-23 18:17:22.537,0.0282,0.0343
