,0,1,2,3,4
372,0.0213,0.0133,0.0135,0.0143,0.0136
373,0.0135,0.0143,0.0136,0.0216,0.0256
374,0.0136,0.0216,0.0256,0.0199,0.0242
375,0.0256,0.0199,0.0242,0.0266,0.0254
376,0.0242,0.0266,0.0254,0.0104,0.0245
377,0.0254,0.0104,0.0245,0.0271,0.0213
378,0.0245,0.0271,0.0213,0.0133,0.025
379,0.0213,0.0133,0.025,0.0516,0.0997
380,0.025,0.0516,0.0997,0.1274,0.0684
381,0.0997,0.1274,0.0684,0.0676,0.0784
382,0.0684,0.0676,0.0784,0.1004,0.1173
383,0.0784,0.1004,0.1173,0.0769,0.0609
384,0.1173,0.0769,0.0609,0.0151,0.016
385,0.0609,0.0151,0.016,0.0083,0.0201
386,0.016,0.0083,0.0201,0.0148,0.0144
387,0.0201,0.0148,0.0144,0.0199,0.015
388,0.0144,0.0199,0.015,0.0147,0.0154
389,0.015,0.0147,0.0154,0.0132,0.0159
390,0.0154,0.0132,0.0159,0.012,0.0143
391,0.0159,0.012,0.0143,0.0119,0.019
392,0.0143,0.0119,0.019,0.0144,0.0159
393,0.019,0.0144,0.0159,0.014,0.0138
394,0.0159,0.014,0.0138,0.0148,0.0141
395,0.0138,0.0148,0.0141,0.014,0.0144
396,0.0141,0.014,0.0144,0.0158,0.0309
397,0.0144,0.0158,0.0309,0.0301,0.0328
398,0.0309,0.0301,0.0328,0.0292,0.027
399,0.0328,0.0292,0.027,0.0233,0.0115
400,0.027,0.0233,0.0115,0.0211,0.0249
401,0.0115,0.0211,0.0249,0.0217,0.0216
402,0.0249,0.0217,0.0216,0.0191,0.0247
403,0.0216,0.0191,0.0247,0.0146,0.0123
404,0.0247,0.0146,0.0123,0.0233,0.02
405,0.0123,0.0233,0.02,0.017,0.0176
406,0.02,0.017,0.0176,0.0207,0.0122
407,0.0176,0.0207,0.0122,0.0124,0.0114
408,0.0122,0.0124,0.0114,0.0106,0.013
409,0.0114,0.0106,0.013,0.0108,0.0092
410,0.013,0.0108,0.0092,0.0092,0.0228
411,0.0092,0.0092,0.0228,0.0225,0.0196
412,0.0228,0.0225,0.0196,0.0207,0.0135
413,0.0196,0.0207,0.0135,0.0196,0.0145
414,0.0135,0.0196,0.0145,0.0299,0.012
415,0.0145,0.0299,0.012,0.0112,0.0097
416,0.012,0.0112,0.0097,0.0097,0.0121
417,0.0097,0.0097,0.0121,0.0104,0.0075
418,0.0121,0.0104,0.0075,0.0084,0.0145
419,0.0075,0.0084,0.0145,0.0191,0.0178
420,0.0145,0.0191,0.0178,0.019,0.0148
421,0.0178,0.019,0.0148,0.0154,0.019
422,0.0148,0.0154,0.019,0.0446,0.045
423,0.019,0.0446,0.045,0.0367,0.0474
424,0.045,0.0367,0.0474,0.0428,0.0528
425,0.0474,0.0428,0.0528,0.0358,0.0412
426,0.0528,0.0358,0.0412,0.0409,0.0417
427,0.0412,0.0409,0.0417,0.0469,0.0364
428,0.0417,0.0469,0.0364,0.0621,0.0909
429,0.0364,0.0621,0.0909,0.0965,0.1079
430,0.0909,0.0965,0.1079,0.1258,0.0691
431,0.1079,0.1258,0.0691,0.0924,0.131
432,0.0691,0.0924,0.131,0.1142,0.0888
433,0.131,0.1142,0.0888,0.0484,0.041
434,0.0888,0.0484,0.041,0.0425,0.0191
435,0.041,0.0425,0.0191,0.0096,0.0054
436,0.0191,0.0096,0.0054,0.009,0.0068
437,0.0054,0.009,0.0068,0.0165,0.0122
438,0.0068,0.0165,0.0122,0.0069,0.0048
439,0.0122,0.0069,0.0048,0.0068,0.0274
440,0.0048,0.0068,0.0274,0.0221,0.0213
441,0.0274,0.0221,0.0213,0.0364,0.032
442,0.0213,0.0364,0.032,0.021,0.0131
443,0.032,0.021,0.0131,0.0084,0.0064
444,0.0131,0.0084,0.0064,0.0059,0.0076
445,0.0064,0.0059,0.0076,0.0075,0.0061
446,0.0076,0.0075,0.0061,0.0066,0.0062
447,0.0061,0.0066,0.0062,0.0074,0.0065
448,0.0062,0.0074,0.0065,0.0073,0.0091
449,0.0065,0.0073,0.0091,0.0128,0.0069
450,0.0091,0.0128,0.0069,0.0066,0.0079
451,0.0069,0.0066,0.0079,0.0053,0.0108
452,0.0079,0.0053,0.0108,0.0079,0.0116
453,0.0108,0.0079,0.0116,0.0069,0.016
454,0.0116,0.0069,0.016,0.023,0.0212
455,0.016,0.023,0.0212,0.0235,0.0212
456,0.0212,0.0235,0.0212,0.0177,0.0185
457,0.0212,0.0177,0.0185,0.0179,0.02
458,0.0185,0.0179,0.02,0.0156,0.0182
459,0.02,0.0156,0.0182,0.0159,0.0194
460,0.0182,0.0159,0.0194,0.0171,0.0137
461,0.0194,0.0171,0.0137,0.0144,0.0121
462,0.0137,0.0144,0.0121,0.0154,0.0151
463,0.0121,0.0154,0.0151,0.0067,0.0091
464,0.0151,0.0067,0.0091,0.0087,0.0084
465,0.0091,0.0087,0.0084,0.0098,0.0054
466,0.0084,0.0098,0.0054,0.0067,0.0157
467,0.0054,0.0067,0.0157,0.0091,0.0105
468,0.0157,0.0091,0.0105,0.0149,0.0148
469,0.0105,0.0149,0.0148,0.0147,0.0147
470,0.0148,0.0147,0.0147,0.0183,0.0172
471,0.0147,0.0183,0.0172,0.017,0.0172
472,0.0172,0.017,0.0172,0.0206,0.0171
473,0.0172,0.0206,0.0171,0.0161,0.0156
474,0.0171,0.0161,0.0156,0.0193,0.0184
475,0.0156,0.0193,0.0184,0.0183,0.0172
476,0.0184,0.0183,0.0172,0.0141,0.0156
477,0.0172,0.0141,0.0156,0.0148,0.0162
478,0.0156,0.0148,0.0162,0.0183,0.0143
479,0.0162,0.0183,0.0143,0.018,0.0194
480,0.0143,0.018,0.0194,0.0229,0.0208
481,0.0194,0.0229,0.0208,0.0177,0.0195
482,0.0208,0.0177,0.0195,0.0194,0.0165
483,0.0195,0.0194,0.0165,0.0176,0.0121
484,0.0165,0.0176,0.0121,0.0141,0.0141
485,0.0121,0.0141,0.0141,0.0152,0.0174
486,0.0141,0.0152,0.0174,0.0171,0.0171
487,0.0174,0.0171,0.0171,0.0173,0.0225
488,0.0171,0.0173,0.0225,0.0182,0.0283
489,0.0225,0.0182,0.0283,0.0204,0.0134
490,0.0283,0.0204,0.0134,0.0093,0.0074
491,0.0134,0.0093,0.0074,0.0049,0.0054
492,0.0074,0.0049,0.0054,0.0073,0.0063
493,0.0054,0.0073,0.0063,0.0085,0.0119
494,0.0063,0.0085,0.0119,0.0149,0.0145
495,0.0119,0.0149,0.0145,0.0154,0.0097
496,0.0145,0.0154,0.0097,0.0146,0.0198
497,0.0097,0.0146,0.0198,0.0484,0.0645
498,0.0198,0.0484,0.0645,0.0452,0.0392
499,0.0645,0.0452,0.0392,0.0558,0.0559
500,0.0392,0.0558,0.0559,0.061,0.0533
501,0.0559,0.061,0.0533,0.0547,0.0368
502,0.0533,0.0547,0.0368,0.0515,0.015
503,0.0368,0.0515,0.015,0.0167,0.0174
504,0.015,0.0167,0.0174,0.0145,0.0142
505,0.0174,0.0145,0.0142,0.0171,0.0141
506,0.0142,0.0171,0.0141,0.0142,0.0146
507,0.0141,0.0142,0.0146,0.0178,0.0135
508,0.0146,0.0178,0.0135,0.0161,0.016
509,0.0135,0.0161,0.016,0.0114,0.01
510,0.016,0.0114,0.01,0.0152,0.0153
511,0.01,0.0152,0.0153,0.0137,0.0161
512,0.0153,0.0137,0.0161,0.0177,0.018
513,0.0161,0.0177,0.018,0.0296,0.017
514,0.018,0.0296,0.017,0.0165,0.0153
515,0.017,0.0165,0.0153,0.0154,0.0186
516,0.0153,0.0154,0.0186,0.0136,0.0152
517,0.0186,0.0136,0.0152,0.01,0.0102
518,0.0152,0.01,0.0102,0.0201,0.05
519,0.0102,0.0201,0.05,0.051,0.0653
520,0.05,0.051,0.0653,0.0536,0.0622
521,0.0653,0.0536,0.0622,0.0639,0.0709
522,0.0622,0.0639,0.0709,0.0529,0.0686
523,0.0709,0.0529,0.0686,0.0571,0.0754
524,0.0686,0.0571,0.0754,0.0242,0.0151
525,0.0754,0.0242,0.0151,0.0191,0.0171
526,0.0151,0.0191,0.0171,0.0081,0.016
527,0.0171,0.0081,0.016,0.0084,0.0107
