,seconds,date,hr
23793,"214,802",[2023-09-08 19:22:27 939],87.0
23850,"215,302",[2023-09-08 19:22:28 439],87.0
23907,"215,802",[2023-09-08 19:22:28 939],87.0
23963,"216,302",[2023-09-08 19:22:29 439],87.0
24020,"216,802",[2023-09-08 19:22:29 939],88.0
24078,"217,302",[2023-09-08 19:22:30 439],88.0
24133,"217,802",[2023-09-08 19:22:30 939],88.0
24187,"218,302",[2023-09-08 19:22:31 439],88.0
24244,"218,802",[2023-09-08 19:22:31 939],88.0
24302,"219,302",[2023-09-08 19:22:32 439],88.0
24358,"219,802",[2023-09-08 19:22:32 939],88.0
24415,"220,302",[2023-09-08 19:22:33 439],87.0
24472,"220,802",[2023-09-08 19:22:33 939],87.0
24530,"221,302",[2023-09-08 19:22:34 439],85.0
24585,"221,802",[2023-09-08 19:22:34 939],85.0
24641,"222,302",[2023-09-08 19:22:35 439],84.0
24694,"222,802",[2023-09-08 19:22:35 939],84.0
24752,"223,302",[2023-09-08 19:22:36 439],84.0
24808,"223,802",[2023-09-08 19:22:36 939],83.0
24865,"224,302",[2023-09-08 19:22:37 439],82.0
24922,"224,802",[2023-09-08 19:22:37 939],82.0
24980,"225,302",[2023-09-08 19:22:38 439],81.0
25036,"225,802",[2023-09-08 19:22:38 939],81.0
25089,"226,302",[2023-09-08 19:22:39 439],80.0
25145,"226,802",[2023-09-08 19:22:39 939],80.0
25201,"227,302",[2023-09-08 19:22:40 439],79.0
25257,"227,802",[2023-09-08 19:22:40 939],78.0
25316,"228,302",[2023-09-08 19:22:41 439],78.0
25372,"228,802",[2023-09-08 19:22:41 939],77.0
25430,"229,302",[2023-09-08 19:22:42 439],77.0
25483,"229,802",[2023-09-08 19:22:42 939],76.0
25537,"230,302",[2023-09-08 19:22:43 439],76.0
25594,"230,802",[2023-09-08 19:22:43 939],76.0
25651,"231,302",[2023-09-08 19:22:44 439],76.0
25708,"231,802",[2023-09-08 19:22:44 939],76.0
25765,"232,302",[2023-09-08 19:22:45 439],76.0
25821,"232,802",[2023-09-08 19:22:45 939],76.0
25879,"233,302",[2023-09-08 19:22:46 439],76.0
25931,"233,802",[2023-09-08 19:22:46 939],76.0
25987,"234,302",[2023-09-08 19:22:47 439],77.0
26044,"234,802",[2023-09-08 19:22:47 939],77.0
26101,"235,302",[2023-09-08 19:22:48 439],78.0
26157,"235,802",[2023-09-08 19:22:48 939],78.0
26215,"236,302",[2023-09-08 19:22:49 439],78.0
26271,"236,802",[2023-09-08 19:22:49 939],79.0
26326,"237,302",[2023-09-08 19:22:50 439],79.0
26382,"237,802",[2023-09-08 19:22:50 939],79.0
26438,"238,302",[2023-09-08 19:22:51 439],79.0
26494,"238,802",[2023-09-08 19:22:51 939],79.0
26553,"239,302",[2023-09-08 19:22:52 439],79.0
26608,"239,802",[2023-09-08 19:22:52 939],80.0
26666,"240,302",[2023-09-08 19:22:53 439],80.0
26722,"240,802",[2023-09-08 19:22:53 939],79.0
26774,"241,302",[2023-09-08 19:22:54 439],79.0
26831,"241,802",[2023-09-08 19:22:54 939],79.0
26888,"242,302",[2023-09-08 19:22:55 439],79.0
26944,"242,802",[2023-09-08 19:22:55 939],78.0
27001,"243,302",[2023-09-08 19:22:56 439],78.0
27058,"243,802",[2023-09-08 19:22:56 939],78.0
27115,"244,302",[2023-09-08 19:22:57 439],79.0
27168,"244,802",[2023-09-08 19:22:57 939],79.0
27224,"245,302",[2023-09-08 19:22:58 439],80.0
27281,"245,802",[2023-09-08 19:22:58 939],81.0
27337,"246,302",[2023-09-08 19:22:59 439],81.0
27394,"246,802",[2023-09-08 19:22:59 939],82.0
27450,"247,302",[2023-09-08 19:23:00 439],82.0
27507,"247,802",[2023-09-08 19:23:00 939],83.0
27562,"248,302",[2023-09-08 19:23:01 439],83.0
27618,"248,802",[2023-09-08 19:23:01 939],82.0
27673,"249,302",[2023-09-08 19:23:02 439],82.0
27731,"249,802",[2023-09-08 19:23:02 939],83.0
27788,"250,302",[2023-09-08 19:23:03 439],83.0
27844,"250,802",[2023-09-08 19:23:03 939],83.0
27901,"251,302",[2023-09-08 19:23:04 439],83.0
27960,"251,802",[2023-09-08 19:23:04 939],83.0
28014,"252,302",[2023-09-08 19:23:05 439],83.0
28072,"252,802",[2023-09-08 19:23:05 939],83.0
28129,"253,302",[2023-09-08 19:23:06 439],83.0
28185,"253,802",[2023-09-08 19:23:06 939],82.0
28243,"254,302",[2023-09-08 19:23:07 439],82.0
28301,"254,802",[2023-09-08 19:23:07 939],81.0
28357,"255,302",[2023-09-08 19:23:08 439],81.0
28412,"255,802",[2023-09-08 19:23:08 939],81.0
28469,"256,302",[2023-09-08 19:23:09 439],81.0
28526,"256,802",[2023-09-08 19:23:09 939],82.0
28584,"257,302",[2023-09-08 19:23:10 439],82.0
28642,"257,802",[2023-09-08 19:23:10 939],83.0
28700,"258,302",[2023-09-08 19:23:11 439],83.0
28757,"258,802",[2023-09-08 19:23:11 939],83.0
28814,"259,302",[2023-09-08 19:23:12 439],83.0
28874,"259,802",[2023-09-08 19:23:12 939],83.0
28928,"260,302",[2023-09-08 19:23:13 439],83.0
28983,"260,802",[2023-09-08 19:23:13 939],84.0
29041,"261,302",[2023-09-08 19:23:14 439],84.0
29099,"261,802",[2023-09-08 19:23:14 939],84.0
29157,"262,302",[2023-09-08 19:23:15 439],84.0
29215,"262,802",[2023-09-08 19:23:15 939],84.0
29271,"263,302",[2023-09-08 19:23:16 439],84.0
29329,"263,802",[2023-09-08 19:23:16 939],84.0
29382,"264,302",[2023-09-08 19:23:17 439],84.0
29440,"264,802",[2023-09-08 19:23:17 939],84.0
29496,"265,302",[2023-09-08 19:23:18 439],84.0
29553,"265,802",[2023-09-08 19:23:18 939],83.0
29610,"266,302",[2023-09-08 19:23:19 439],83.0
29667,"266,802",[2023-09-08 19:23:19 939],82.0
29724,"267,302",[2023-09-08 19:23:20 439],81.0
29779,"267,802",[2023-09-08 19:23:20 939],80.0
29833,"268,302",[2023-09-08 19:23:21 439],79.0
29891,"268,802",[2023-09-08 19:23:21 939],78.0
29946,"269,302",[2023-09-08 19:23:22 439],77.0
30003,"269,802",[2023-09-08 19:23:22 939],75.0
30059,"270,302",[2023-09-08 19:23:23 439],73.0
30116,"270,802",[2023-09-08 19:23:23 939],72.0
30171,"271,302",[2023-09-08 19:23:24 439],71.0
30225,"271,802",[2023-09-08 19:23:24 939],70.0
30281,"272,302",[2023-09-08 19:23:25 439],70.0
30337,"272,802",[2023-09-08 19:23:25 939],70.0
30394,"273,302",[2023-09-08 19:23:26 439],70.0
30451,"273,802",[2023-09-08 19:23:26 939],69.0
30507,"274,302",[2023-09-08 19:23:27 439],69.0
30564,"274,802",[2023-09-08 19:23:27 939],68.0
30615,"275,302",[2023-09-08 19:23:28 439],68.0
30672,"275,802",[2023-09-08 19:23:28 939],68.0
30727,"276,302",[2023-09-08 19:23:29 439],68.0
30785,"276,802",[2023-09-08 19:23:29 939],68.0
30840,"277,302",[2023-09-08 19:23:30 439],68.0
30898,"277,802",[2023-09-08 19:23:30 939],68.0
30954,"278,302",[2023-09-08 19:23:31 439],68.0
31009,"278,802",[2023-09-08 19:23:31 939],68.0
31062,"279,302",[2023-09-08 19:23:32 439],68.0
31120,"279,802",[2023-09-08 19:23:32 939],68.0
31176,"280,302",[2023-09-08 19:23:33 439],67.0
31232,"280,802",[2023-09-08 19:23:33 939],67.0
31288,"281,302",[2023-09-08 19:23:34 439],66.0
31346,"281,802",[2023-09-08 19:23:34 939],66.0
31401,"282,302",[2023-09-08 19:23:35 439],66.0
31458,"282,802",[2023-09-08 19:23:35 939],66.0
31514,"283,302",[2023-09-08 19:23:36 439],66.0
31570,"283,802",[2023-09-08 19:23:36 939],66.0
31627,"284,302",[2023-09-08 19:23:37 439],66.0
31683,"284,802",[2023-09-08 19:23:37 939],67.0
31741,"285,302",[2023-09-08 19:23:38 439],67.0
31799,"285,802",[2023-09-08 19:23:38 939],67.0
31851,"286,302",[2023-09-08 19:23:39 439],67.0
31907,"286,802",[2023-09-08 19:23:39 939],67.0
31963,"287,302",[2023-09-08 19:23:40 439],67.0
32020,"287,802",[2023-09-08 19:23:40 939],67.0
32076,"288,302",[2023-09-08 19:23:41 439],67.0
32133,"288,802",[2023-09-08 19:23:41 939],67.0
32190,"289,302",[2023-09-08 19:23:42 439],67.0
32246,"289,802",[2023-09-08 19:23:42 939],67.0
32300,"290,302",[2023-09-08 19:23:43 439],67.0
32357,"290,802",[2023-09-08 19:23:43 939],67.0
32414,"291,302",[2023-09-08 19:23:44 439],67.0
32472,"291,802",[2023-09-08 19:23:44 939],67.0
32528,"292,302",[2023-09-08 19:23:45 439],67.0
32586,"292,802",[2023-09-08 19:23:45 939],67.0
32642,"293,302",[2023-09-08 19:23:46 439],67.0
32694,"293,802",[2023-09-08 19:23:46 939],67.0
32751,"294,302",[2023-09-08 19:23:47 439],67.0
32808,"294,802",[2023-09-08 19:23:47 939],67.0
32865,"295,302",[2023-09-08 19:23:48 439],67.0
32924,"295,802",[2023-09-08 19:23:48 939],67.0
32980,"296,302",[2023-09-08 19:23:49 439],67.0
33038,"296,802",[2023-09-08 19:23:49 939],67.0
33095,"297,302",[2023-09-08 19:23:50 439],67.0
33153,"297,802",[2023-09-08 19:23:50 939],67.0
33207,"298,302",[2023-09-08 19:23:51 439],67.0
33263,"298,802",[2023-09-08 19:23:51 939],67.0
33321,"299,302",[2023-09-08 19:23:52 439],67.0
33379,"299,802",[2023-09-08 19:23:52 939],67.0
33436,"300,302",[2023-09-08 19:23:53 439],67.0
33493,"300,802",[2023-09-08 19:23:53 939],67.0
33550,"301,302",[2023-09-08 19:23:54 439],67.0
33608,"301,802",[2023-09-08 19:23:54 939],67.0
33662,"302,302",[2023-09-08 19:23:55 439],67.0
33719,"302,802",[2023-09-08 19:23:55 939],66.0
33776,"303,302",[2023-09-08 19:23:56 439],66.0
33834,"303,802",[2023-09-08 19:23:56 939],66.0
33890,"304,302",[2023-09-08 19:23:57 439],66.0
33948,"304,802",[2023-09-08 19:23:57 939],66.0
34005,"305,302",[2023-09-08 19:23:58 439],66.0
34060,"305,802",[2023-09-08 19:23:58 939],66.0
34115,"306,302",[2023-09-08 19:23:59 439],66.0
34172,"306,802",[2023-09-08 19:23:59 939],66.0
34231,"307,302",[2023-09-08 19:24:00 439],67.0
34289,"307,802",[2023-09-08 19:24:00 939],67.0
34344,"308,302",[2023-09-08 19:24:01 439],69.0
34402,"308,802",[2023-09-08 19:24:01 939],70.0
34456,"309,302",[2023-09-08 19:24:02 439],75.0
34854,"312,802",[2023-09-08 19:24:05 939],80.0
35131,"315,302",[2023-09-08 19:24:08 439],85.0
35189,"315,802",[2023-09-08 19:24:08 939],85.0
35246,"316,302",[2023-09-08 19:24:09 439],85.0
35300,"316,802",[2023-09-08 19:24:09 939],85.0
35355,"317,302",[2023-09-08 19:24:10 439],85.0
35413,"317,802",[2023-09-08 19:24:10 939],85.0
35469,"318,302",[2023-09-08 19:24:11 439],85.0
35526,"318,802",[2023-09-08 19:24:11 939],85.0
35582,"319,302",[2023-09-08 19:24:12 439],85.0
35641,"319,802",[2023-09-08 19:24:12 939],85.0
35696,"320,302",[2023-09-08 19:24:13 439],85.0
35751,"320,802",[2023-09-08 19:24:13 939],85.0
35808,"321,302",[2023-09-08 19:24:14 439],85.0
35865,"321,802",[2023-09-08 19:24:14 939],84.0
35921,"322,302",[2023-09-08 19:24:15 439],84.0
35979,"322,802",[2023-09-08 19:24:15 939],85.0
36036,"323,302",[2023-09-08 19:24:16 439],86.0
36092,"323,802",[2023-09-08 19:24:16 939],86.0
36146,"324,302",[2023-09-08 19:24:17 439],89.0
36203,"324,802",[2023-09-08 19:24:17 939],90.0
36260,"325,302",[2023-09-08 19:24:18 439],92.0
36316,"325,802",[2023-09-08 19:24:18 939],93.0
36373,"326,302",[2023-09-08 19:24:19 439],94.0
36430,"326,802",[2023-09-08 19:24:19 939],96.0
36487,"327,302",[2023-09-08 19:24:20 439],98.0
36543,"327,802",[2023-09-08 19:24:20 939],99.0
36599,"328,302",[2023-09-08 19:24:21 439],100.0
36657,"328,802",[2023-09-08 19:24:21 939],101.0
36712,"329,302",[2023-09-08 19:24:22 439],101.0
36770,"329,802",[2023-09-08 19:24:22 939],102.0
36827,"330,302",[2023-09-08 19:24:23 439],103.0
36883,"330,802",[2023-09-08 19:24:23 939],103.0
36940,"331,302",[2023-09-08 19:24:24 439],104.0
36994,"331,802",[2023-09-08 19:24:24 939],103.0
37050,"332,302",[2023-09-08 19:24:25 439],102.0
37108,"332,802",[2023-09-08 19:24:25 939],100.0
37165,"333,302",[2023-09-08 19:24:26 439],98.0
37222,"333,802",[2023-09-08 19:24:26 939],98.0
37279,"334,302",[2023-09-08 19:24:27 439],97.0
37336,"334,802",[2023-09-08 19:24:27 939],96.0
37393,"335,302",[2023-09-08 19:24:28 439],96.0
37451,"335,802",[2023-09-08 19:24:28 939],96.0
37504,"336,302",[2023-09-08 19:24:29 439],96.0
37560,"336,802",[2023-09-08 19:24:29 939],95.0
37616,"337,302",[2023-09-08 19:24:30 439],95.0
37673,"337,802",[2023-09-08 19:24:30 939],95.0
37730,"338,302",[2023-09-08 19:24:31 439],95.0
37788,"338,802",[2023-09-08 19:24:31 939],94.0
37845,"339,302",[2023-09-08 19:24:32 439],94.0
37900,"339,802",[2023-09-08 19:24:32 939],93.0
37955,"340,302",[2023-09-08 19:24:33 439],93.0
38012,"340,802",[2023-09-08 19:24:33 939],93.0
38069,"341,302",[2023-09-08 19:24:34 439],93.0
38126,"341,802",[2023-09-08 19:24:34 939],92.0
38183,"342,302",[2023-09-08 19:24:35 439],92.0
38241,"342,802",[2023-09-08 19:24:35 939],92.0
38296,"343,302",[2023-09-08 19:24:36 439],92.0
38351,"343,802",[2023-09-08 19:24:36 939],91.0
38407,"344,302",[2023-09-08 19:24:37 439],91.0
38465,"344,802",[2023-09-08 19:24:37 939],90.0
38522,"345,302",[2023-09-08 19:24:38 439],90.0
38578,"345,802",[2023-09-08 19:24:38 939],89.0
38635,"346,302",[2023-09-08 19:24:39 439],89.0
38693,"346,802",[2023-09-08 19:24:39 939],89.0
38746,"347,302",[2023-09-08 19:24:40 439],90.0
38800,"347,802",[2023-09-08 19:24:40 939],90.0
38858,"348,302",[2023-09-08 19:24:41 439],92.0
38916,"348,802",[2023-09-08 19:24:41 939],92.0
38973,"349,302",[2023-09-08 19:24:42 439],93.0
39029,"349,802",[2023-09-08 19:24:42 939],93.0
39086,"350,302",[2023-09-08 19:24:43 439],94.0
39144,"350,802",[2023-09-08 19:24:43 939],94.0
39198,"351,302",[2023-09-08 19:24:44 439],95.0
39254,"351,802",[2023-09-08 19:24:44 939],95.0
